algorithm,seed,episode,reward
qmix,42,195,-279.7938
qmix,42,196,-272.8238
qmix,42,197,-197.2461
qmix,42,198,-256.9487
qmix,42,199,-248.3493
qmix,42,200,-204.5949
qmix,123,1,-898.2786
qmix,123,2,-32.1533
qmix,123,3,-93.5789
qmix,123,4,-43.1274
qmix,123,5,-65.0136
qmix,123,6,-29.6186
qmix,123,7,-83.8038
qmix,123,8,-309.8368
qmix,123,9,-75.9994
qmix,123,10,-445.7296
qmix,123,11,-68.5089
qmix,123,12,-68.6052
qmix,123,13,-134.1014
qmix,123,14,-348.3519
qmix,123,15,-42.8183
qmix,123,16,-361.0824
qmix,123,17,-491.7178
qmix,123,18,-58.2641
qmix,123,19,-103.0831
qmix,123,20,-22.5072
qmix,123,21,-27.4261
qmix,123,22,-104.0925
qmix,123,23,-140.283
qmix,123,24,-54.7516
qmix,123,25,-41.6853
qmix,123,26,-241.7521
qmix,123,27,-451.6804
qmix,123,28,-55.1285
qmix,123,29,-1.6305
qmix,123,30,-8.4708
qmix,123,31,-63.1836
qmix,123,32,73.3619
qmix,123,33,-457.0711
qmix,123,34,-89.3257
qmix,123,35,-338.9027
qmix,123,36,-1017.6775
qmix,123,37,-69.6588
qmix,123,38,-225.504
qmix,123,39,-33.5658
qmix,123,40,18.2566
qmix,123,41,-32.8635
qmix,123,42,-304.2975
qmix,123,43,-408.6292
qmix,123,44,16.7087
qmix,123,45,8.5229
qmix,123,46,-29.8396
qmix,123,47,-379.8239
qmix,123,48,-219.1281
qmix,123,49,-27.9808
qmix,123,50,-15.1525
qmix,123,51,-73.9566
qmix,123,52,-19.1172
qmix,123,53,6.8365
qmix,123,54,-309.3106
qmix,123,55,-49.2674
qmix,123,56,-246.867
qmix,123,57,17.3782
qmix,123,58,-34.9274
qmix,123,59,-47.3206
qmix,123,60,-4.1914
qmix,123,61,-301.7579
qmix,123,62,26.5785
qmix,123,63,-5.0797
qmix,123,64,10.2645
qmix,123,65,-17.7062
qmix,123,66,-1.58
qmix,123,67,-1.323
qmix,123,68,-9.0555
qmix,123,69,-5.5848
qmix,123,70,26.0974
qmix,123,71,-6.7966
qmix,123,72,-5.035
qmix,123,73,-346.5661
qmix,123,74,-25.4409
qmix,123,75,-31.9485
qmix,123,76,-8.5323
qmix,123,77,-1.2363
qmix,123,78,54.3379
qmix,123,79,85.7214
qmix,123,80,-42.7719
qmix,123,81,-21.1576
qmix,123,82,7.419
qmix,123,83,-28.5739
qmix,123,84,-51.5947
qmix,123,85,-13.845
qmix,123,86,6.3932
qmix,123,87,-50.7027
qmix,123,88,-103.8883
qmix,123,89,11.4103
qmix,123,90,-17.1138
qmix,123,91,-273.243
qmix,123,92,-43.7251
qmix,123,93,-43.9417
qmix,123,94,10.0298
qmix,123,95,-3.0295
qmix,123,96,-6.3409
qmix,123,97,-21.4981
qmix,123,98,-31.4122
qmix,123,99,-12.6398
qmix,123,100,28.7874
qmix,123,101,-6.3334
qmix,123,102,-20.9412
qmix,123,103,80.3066
qmix,123,104,38.8195
qmix,123,105,116.7473
qmix,123,106,11.6815
qmix,123,107,21.7505
qmix,123,108,-1.4248
qmix,123,109,-13.5778
qmix,123,110,43.5129
qmix,123,111,8.6359
qmix,123,112,47.6322
qmix,123,113,-2.3392
qmix,123,114,-522.999
qmix,123,115,-15.2532
qmix,123,116,-376.5571
qmix,123,117,27.7789
qmix,123,118,14.0307
qmix,123,119,14.3033
qmix,123,120,-1.0802
qmix,123,121,-424.2679
qmix,123,122,13.2861
qmix,123,123,27.066
qmix,123,124,1.0483
qmix,123,125,2.594
qmix,123,126,5.8233
qmix,123,127,8.4881
qmix,123,128,-361.6669
qmix,123,129,82.5254
qmix,123,130,-101.8297
qmix,123,131,44.8846
qmix,123,132,43.8228
qmix,123,133,23.7299
qmix,123,134,72.2321
qmix,123,135,37.2584
qmix,123,136,36.8959
qmix,123,137,35.1222
qmix,123,138,62.928
qmix,123,139,42.0171
qmix,123,140,3.2196
qmix,123,141,28.9556
qmix,123,142,33.8619
qmix,123,143,36.2076
qmix,123,144,68.212
qmix,123,145,54.6957
qmix,123,146,49.569
qmix,123,147,-351.711
qmix,123,148,-81.0698
qmix,123,149,6.8306
qmix,123,150,48.4614
qmix,123,151,34.3048
qmix,123,152,42.5592
qmix,123,153,44.3918
qmix,123,154,32.2682
qmix,123,155,68.2947
qmix,123,156,66.1003
qmix,123,157,79.8898
qmix,123,158,68.2357
qmix,123,159,73.5259
qmix,123,160,47.1791
qmix,123,161,70.2601
qmix,123,162,74.5496
qmix,123,163,40.8842
qmix,123,164,36.5479
qmix,123,165,38.5144
qmix,123,166,45.1128
qmix,123,167,-7.2139
qmix,123,168,74.265
qmix,123,169,42.8549
qmix,123,170,-2.4158
qmix,123,171,26.4897
qmix,123,172,67.3569
qmix,123,173,-99.4967
qmix,123,174,62.5328
qmix,123,175,44.8297
qmix,123,176,23.4162
qmix,123,177,25.9457
qmix,123,178,131.5219
qmix,123,179,41.2375
qmix,123,180,-485.6559
qmix,123,181,54.0829
qmix,123,182,53.4861
qmix,123,183,71.4579
qmix,123,184,93.8062
qmix,123,185,48.6897
qmix,123,186,40.6769
qmix,123,187,29.8778
qmix,123,188,58.2191
qmix,123,189,46.5826
qmix,123,190,55.9721
qmix,123,191,45.4046
qmix,123,192,62.9028
qmix,123,193,27.1003
qmix,123,194,62.9728
qmix,123,195,51.0815
qmix,123,196,61.1593
qmix,123,197,61.7166
qmix,123,198,108.6039
qmix,123,199,93.387
qmix,123,200,156.0264
qmix,999,1,-111.7167
qmix,999,2,-102.2095
qmix,999,3,15.1607
qmix,999,4,-99.7986
qmix,999,5,-99.0515
qmix,999,6,-175.374
qmix,999,7,-153.4104
qmix,999,8,-26.8892
qmix,999,9,-117.0945
qmix,999,10,-77.8798
qmix,999,11,-77.6232
qmix,999,12,0.0155
qmix,999,13,-66.5912
qmix,999,14,-419.5557
qmix,999,15,-585.4324
qmix,999,16,-155.0261
qmix,999,17,-355.4827
qmix,999,18,-141.5553
qmix,999,19,-112.2012
qmix,999,20,-108.8044
qmix,999,21,-131.7772
qmix,999,22,-145.0688
qmix,999,23,-140.3496
qmix,999,24,-121.8598
qmix,999,25,-341.3724
qmix,999,26,-96.8328
qmix,999,27,-366.4318
qmix,999,28,-91.0093
qmix,999,29,-179.6974
qmix,999,30,-118.1239
qmix,999,31,-146.6276
qmix,999,32,-58.9636
qmix,999,33,-781.094
qmix,999,34,-172.7758
qmix,999,35,-790.1642
qmix,999,36,-880.4881
qmix,999,37,-613.4109
qmix,999,38,-161.8374
qmix,999,39,-224.7355
qmix,999,40,-156.0322
qmix,999,41,-165.5396
qmix,999,42,-822.6127
qmix,999,43,-450.9424
qmix,999,44,-673.4797
qmix,999,45,-421.1207
qmix,999,46,-486.2046
qmix,999,47,-720.9317
qmix,999,48,-184.0118
qmix,999,49,-308.0995
qmix,999,50,-507.5975
qmix,999,51,-1014.0071
qmix,999,52,-698.4403
qmix,999,53,-270.5346
qmix,999,54,-453.2386
qmix,999,55,-821.0489
qmix,999,56,-983.9357
qmix,999,57,-809.7872
qmix,999,58,-659.4348
qmix,999,59,-478.0446
qmix,999,60,-831.2833
qmix,999,61,-444.7468
qmix,999,62,-1039.2494
qmix,999,63,-1255.8591
qmix,999,64,-588.3562
qmix,999,65,-753.4688
qmix,999,66,-428.7047
qmix,999,67,-250.5737
qmix,999,68,-692.2959
qmix,999,69,-616.8014
qmix,999,70,-486.0592
qmix,999,71,-627.1666
qmix,999,72,-708.0511
qmix,999,73,-805.6005
qmix,999,74,-683.2914
qmix,999,75,-924.0682
qmix,999,76,-596.7033
qmix,999,77,-769.8874
qmix,999,78,-422.5829
qmix,999,79,-1132.343
qmix,999,80,-559.5242
qmix,999,81,-476.4251
qmix,999,82,-255.5752
qmix,999,83,-809.6245
qmix,999,84,-656.6452
qmix,999,85,-491.8555
qmix,999,86,-669.4954
qmix,999,87,-845.5644
qmix,999,88,-621.9345
qmix,999,89,-309.0661
qmix,999,90,-995.5103
qmix,999,91,-740.0963
qmix,999,92,-645.291
qmix,999,93,-976.2824
